Timestamp,X_m,Y_m
2026-03-31 15:29:32.425,-0.350,0.002
2026-03-31 15:29:32.566,-0.350,0.002
2026-03-31 15:29:32.667,-0.350,0.002
2026-03-31 15:29:32.800,-0.350,0.002
2026-03-31 15:29:32.909,-0.350,0.002
2026-03-31 15:29:33.037,-0.350,0.002
2026-03-31 15:29:33.165,-0.350,0.002
2026-03-31 15:29:33.277,-0.350,0.002
2026-03-31 15:29:33.404,-0.350,0.002
2026-03-31 15:29:33.533,-0.350,0.002
2026-03-31 15:29:33.676,-0.350,0.002
2026-03-31 15:29:33.805,-0.350,0.002
2026-03-31 15:29:34.301,-0.351,0.002
2026-03-31 15:29:34.509,-0.353,0.002
2026-03-31 15:29:34.781,-0.353,0.002
2026-03-31 15:29:35.149,-0.355,0.002
2026-03-31 15:29:35.484,-0.355,0.002
2026-03-31 15:29:35.709,-0.355,0.002
2026-03-31 15:29:35.853,-0.355,0.002
2026-03-31 15:29:36.044,-0.355,0.002
2026-03-31 15:29:36.149,-0.355,0.002
2026-03-31 15:29:36.349,-0.357,0.002
2026-03-31 15:29:36.508,-0.357,0.002
2026-03-31 15:29:36.653,-0.357,0.002
2026-03-31 15:29:36.814,-0.355,0.002
2026-03-31 15:29:36.926,-0.355,0.002
2026-03-31 15:29:37.053,-0.353,0.002
2026-03-31 15:29:37.182,-0.353,0.002
2026-03-31 15:29:37.518,-0.357,0.002
2026-03-31 15:29:37.621,-0.357,0.002
2026-03-31 15:29:37.727,-0.357,0.002
2026-03-31 15:29:37.853,-0.357,0.002
2026-03-31 15:29:37.987,-0.357,0.002
2026-03-31 15:29:38.097,-0.357,0.002
2026-03-31 15:29:38.861,-0.357,0.002
2026-03-31 15:29:38.989,-0.357,0.002
2026-03-31 15:29:39.092,-0.357,0.002
2026-03-31 15:29:39.197,-0.357,0.002
2026-03-31 15:29:39.297,-0.357,0.002
2026-03-31 15:29:39.407,-0.357,0.002
2026-03-31 15:29:39.652,-0.357,0.002
