Timestamp,X_m,Y_m
2026-03-31 15:28:54.379,-0.400,-0.021
2026-03-31 15:28:54.490,-0.402,-0.016
2026-03-31 15:28:54.663,-0.402,-0.019
2026-03-31 15:28:54.807,-0.402,-0.017
2026-03-31 15:28:54.982,-0.365,0.050
2026-03-31 15:28:55.094,-0.365,0.026
2026-03-31 15:28:55.208,-0.364,0.014
2026-03-31 15:28:55.334,-0.362,0.003
2026-03-31 15:28:55.493,-0.362,0.003
2026-03-31 15:28:55.607,-0.362,0.003
2026-03-31 15:28:55.734,-0.362,0.003
2026-03-31 15:28:55.880,-0.362,0.003
2026-03-31 15:28:55.993,-0.362,0.003
2026-03-31 15:28:56.103,-0.362,0.003
2026-03-31 15:28:56.275,-0.358,0.003
2026-03-31 15:28:56.390,-0.357,0.003
2026-03-31 15:28:56.503,-0.355,0.003
2026-03-31 15:28:56.678,-0.355,0.003
2026-03-31 15:28:56.807,-0.353,0.003
2026-03-31 15:28:56.936,-0.351,0.003
2026-03-31 15:28:58.118,-0.351,0.003
