Timestamp,X_m,Y_m
2026-03-31 15:30:40.145,-0.318,0.002
2026-03-31 15:30:40.290,-0.318,0.002
2026-03-31 15:30:40.417,-0.318,0.002
2026-03-31 15:30:40.544,-0.318,0.002
2026-03-31 15:30:40.648,-0.318,0.002
2026-03-31 15:30:40.756,-0.318,0.002
2026-03-31 15:30:40.861,-0.320,0.002
2026-03-31 15:30:40.966,-0.320,0.002
2026-03-31 15:30:41.067,-0.320,0.002
2026-03-31 15:30:41.185,-0.320,0.002
2026-03-31 15:30:41.298,-0.320,0.002
2026-03-31 15:30:41.424,-0.320,0.002
2026-03-31 15:30:41.566,-0.320,0.002
2026-03-31 15:30:41.681,-0.320,0.002
2026-03-31 15:30:41.793,-0.320,0.002
2026-03-31 15:30:41.919,-0.320,0.002
2026-03-31 15:30:42.049,-0.320,0.002
2026-03-31 15:30:42.164,-0.320,0.002
2026-03-31 15:30:42.288,-0.320,0.002
2026-03-31 15:30:42.416,-0.320,0.002
2026-03-31 15:30:42.562,-0.320,0.002
2026-03-31 15:30:42.688,-0.320,0.002
2026-03-31 15:30:42.821,-0.322,0.002
2026-03-31 15:30:42.964,-0.322,0.002
2026-03-31 15:30:43.092,-0.320,0.002
2026-03-31 15:30:43.193,-0.320,0.002
2026-03-31 15:30:43.329,-0.320,0.002
2026-03-31 15:30:43.459,-0.320,0.002
